Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2014-06-20,2014-12-12,175,861.71,939.3,355341.69
2014-06-27,2015-06-05,343,604.12,776.47,5261515.85
2014-07-25,2015-05-15,294,544.04,698.16,330876.27
2014-08-01,2014-12-05,126,319.68,312.23,-178820.08
2014-09-19,2015-01-09,112,153.64,152.57,-103436.95
2014-10-03,2015-04-24,203,348.04,363.77,3021211.64
2015-01-16,2015-04-24,98,2938.1,2590.57,-821006.62
2015-02-20,2015-03-06,14,169.3,148.01,-1116579.19
2015-02-27,2015-05-01,63,983.23,911.87,-823242.0
2015-05-29,2015-08-14,77,361.3,337.29,-438934.85
2015-07-03,2015-08-28,56,141.96,128.65,-1167541.89
2015-07-10,2015-08-28,49,246.67,232.47,-1505252.51
2015-07-10,2015-08-28,49,1048.88,903.57,-1405625.66
2015-07-17,2015-08-21,35,220.37,195.83,-850287.45
2015-07-17,2015-08-28,42,3085.0,2828.35,-515191.04
2015-08-14,2015-11-20,98,425.43,393.16,-6322609.12
2016-01-08,2016-02-12,35,221.24,195.53,-783346.14
2016-01-29,2016-02-12,14,435.19,405.21,-5313435.93
2016-03-18,2016-07-15,119,445.83,405.35,-6382199.54
2016-04-15,2016-11-18,217,3142.16,3265.54,182504.36
2016-04-15,2016-05-06,21,232.52,211.34,-546093.0
2016-04-29,2016-11-18,203,256.08,276.21,1659403.18
2016-05-27,2016-11-25,182,147.55,149.55,91359.57
2016-06-17,2016-11-18,154,160.98,152.9,-410365.52
2016-06-24,2016-10-14,112,377.79,372.76,-171352.3
2016-07-08,2016-09-30,84,783.88,738.89,-94776.4
2016-07-15,2017-05-05,294,26.87,31.95,3673.73
2016-08-05,2018-03-23,595,4511.86,7992.46,3114753.83
2016-08-12,2016-10-14,63,582.09,512.8,-2914934.21
2016-08-12,2016-09-09,28,1082.52,929.94,-661525.56
2016-09-09,2017-01-06,119,237.23,220.88,-168707.43
2016-09-16,2016-11-04,49,234.59,219.33,-360239.38
2017-02-03,2017-08-04,182,183.23,191.35,276077.46
2017-02-03,2017-09-29,238,243.94,265.68,336774.19
