Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2017-07-28,2018-03-02,217,283.93,298.46,251120.93
2017-08-04,2018-01-26,175,105.22,103.33,-24446.71
2017-09-01,2018-02-02,154,314.68,321.4,3519.62
2017-09-01,2017-12-01,91,1127.57,1053.75,-584409.71
2017-10-20,2018-02-02,105,567.91,543.01,-187022.78
2017-11-24,2018-10-26,336,364.47,492.83,970865.07
2018-01-05,2018-03-09,63,124.1,112.5,-332302.74
2018-01-12,2018-05-18,126,359.14,346.93,-141171.26
2018-01-12,2018-05-04,112,152.21,141.54,-73916.73
2018-03-30,2018-10-05,189,369.51,426.96,32883.4
2018-04-27,2018-10-26,182,336.32,371.54,567291.96
2018-05-11,2018-10-05,147,1195.68,1129.47,-465544.55
2018-05-18,2018-09-28,133,570.53,598.23,411765.84
2018-08-03,2018-10-26,84,598.98,566.82,-213784.51
2018-08-10,2018-10-26,77,313.49,311.23,-91122.44
2018-08-31,2019-05-24,266,476.24,509.09,316670.96
2018-09-07,2018-10-19,42,419.16,374.1,-391257.13
2018-09-14,2019-07-05,294,113.37,124.8,1132708.51
2019-02-01,2019-05-10,98,1364.05,1255.32,-613944.81
2019-02-01,2019-02-15,14,526.33,479.83,-23431.68
2019-02-08,2019-05-24,105,607.68,555.1,-344404.22
2019-04-05,2019-07-05,91,428.2,399.02,-225989.33
2019-04-05,2019-07-26,112,736.84,720.66,-266162.49
2019-05-24,2019-07-12,49,116.1,99.65,-446306.76
2019-05-24,2019-07-26,63,392.02,364.89,-90631.29
2019-06-21,2019-11-01,133,77.48,77.39,-6694.12
2019-06-21,2020-03-20,273,530.72,660.98,54728.29
2019-07-26,2020-03-20,238,1436.58,1649.97,952476.89
2019-09-27,2020-03-06,161,851.91,857.66,16646.81
2019-10-18,2020-03-13,147,438.2,424.51,-226732.35
2019-10-25,2020-02-28,126,2918.83,2653.58,-6915319.52
2019-11-01,2020-02-28,119,453.89,422.48,-212487.9
2019-11-29,2021-01-29,427,561.12,892.06,3078916.05
2020-01-03,2020-01-31,28,207.82,181.8,-271209.95
2020-02-07,2020-02-28,21,635.41,573.71,-349152.24
2020-04-10,2020-08-14,126,786.87,767.04,-8514.59
2020-04-17,2021-03-19,336,570.64,725.85,915449.4
2020-06-05,2020-11-13,161,3131.46,3243.68,2010856.77
2020-07-17,2021-04-30,287,492.68,733.81,1284570.51
2020-07-31,2022-01-21,539,129.49,279.96,14982294.37
2020-08-14,2021-03-19,217,2314.03,2626.6,369858.06
2020-08-21,2022-01-28,525,1855.19,2970.12,4519558.06
2020-09-11,2021-10-08,392,272.44,636.47,9805514.41
2020-10-02,2022-01-28,483,647.78,1196.78,2588561.78
2020-10-02,2021-02-26,147,485.6,477.11,-135627.89
2020-11-13,2021-04-16,154,2397.42,2321.39,-16564786.23
2020-11-13,2022-06-17,581,78.56,132.64,734065.71
2020-11-20,2021-11-26,371,208.02,405.22,1709516.78
2020-11-27,2021-07-23,238,397.82,661.97,745012.43
2020-11-27,2021-02-19,84,845.66,774.16,-24478.88
2020-12-11,2022-05-13,518,70.24,174.16,18467851.11
2021-02-05,2022-01-28,357,969.21,1515.54,5374686.52
2021-02-19,2021-08-20,182,76.92,80.66,113109.17
2021-02-19,2021-12-24,308,86.85,103.88,199199.43
2021-02-26,2021-04-23,56,97.09,83.23,-134513.41
2021-04-09,2021-12-03,238,531.54,556.43,246399.55
2021-04-09,2021-10-08,182,842.65,879.97,170449.79
2021-05-21,2021-08-20,91,97.12,89.47,-65123.6
2021-06-11,2021-07-30,49,1056.85,917.28,-1141772.86
2021-07-30,2022-01-28,182,841.71,902.07,262117.91
2021-08-20,2022-01-21,154,930.22,907.18,-7432.87
2021-08-20,2021-10-29,70,3668.87,3461.5,-4137212.12
2021-09-17,2022-05-13,238,94.97,119.61,690181.29
2021-09-24,2021-12-24,91,112.32,104.55,-52828.46
2022-02-04,2022-04-29,84,510.31,469.01,-301988.83
2022-03-04,2023-02-10,343,133.7,172.75,189353.33
2022-03-11,2022-05-06,56,1001.68,896.9,-494286.73
2022-04-08,2022-05-13,35,816.99,687.13,-306911.22
2022-04-08,2022-06-24,77,134.07,120.45,-132256.5
2022-04-15,2022-05-13,28,732.54,573.96,-3792538.79
2022-07-08,2022-12-23,168,2812.39,3006.92,27877885.03
2022-07-22,2022-09-30,70,2502.45,2249.6,-340432.71
2022-08-12,2024-11-15,826,142.44,360.11,1688919.13
2022-08-19,2022-10-14,56,854.5,764.62,-172546.52
2022-09-09,2023-01-20,133,1020.38,1015.71,-38548.86
2022-10-21,2023-01-20,91,975.12,928.01,-12916.8
2022-11-11,2023-08-11,273,3926.33,4394.75,7213858.0
2022-12-02,2023-01-06,35,571.1,534.1,-428454.73
2022-12-16,2023-02-24,70,732.6,675.01,-1116412.92
2023-02-03,2023-04-21,77,1002.67,917.64,-376400.8
2023-03-10,2024-10-25,595,150.48,297.99,1759934.22
2023-03-31,2023-05-12,42,906.23,875.52,-279796.24
2023-04-14,2024-09-20,525,136.47,259.88,3056408.43
2023-04-21,2024-04-19,364,995.64,1194.37,44446.83
2023-04-28,2024-10-25,546,190.39,409.46,971462.7
2023-05-26,2023-08-04,70,227.22,200.97,-3724527.22
2023-05-26,2024-04-19,329,1013.62,1321.59,1140216.5
2023-06-02,2024-10-18,504,2619.28,4916.89,2504368.41
2023-06-16,2023-10-27,133,764.78,724.36,-708113.79
2023-06-23,2024-05-17,329,978.99,1145.81,1143693.92
2023-06-30,2023-10-27,119,1004.91,1021.86,66920.84
2023-07-21,2023-10-13,84,3405.32,3048.21,-1327273.66
2023-08-04,2024-05-10,280,1175.87,1302.03,406938.38
2023-09-01,2023-10-20,49,194.73,183.27,-1778904.11
2023-09-15,2024-11-08,420,490.13,645.71,1003870.79
2023-11-17,2024-10-25,343,3774.01,4532.83,90630573.11
2023-12-01,2024-02-09,70,1682.63,1567.86,-1096021.32
2023-12-08,2024-10-04,301,1009.39,1400.95,533960.47
2023-12-08,2024-03-15,98,830.59,772.5,-864361.68
2023-12-15,2024-04-19,126,208.85,212.2,287850.59
2023-12-15,2024-03-29,105,1203.9,1150.44,-282375.54
2023-12-22,2024-04-05,105,5028.88,4689.75,-5093106.29
2024-02-09,2024-11-15,280,232.97,397.47,19065292.48
2024-04-26,2024-12-20,238,877.99,914.89,395037.47
2024-06-07,2024-10-25,140,1455.32,1459.47,-9459.93
2024-06-07,2024-11-15,161,5323.58,4852.01,-6105250.33
2024-06-07,2024-10-04,119,598.16,560.89,-384497.86
2024-06-21,2025-02-21,245,1290.27,1562.51,1119021.53
2024-07-05,2024-11-01,119,1288.15,1251.66,-268488.33
2024-07-12,2024-08-09,28,262.54,230.27,-3373928.23
2024-07-26,2025-01-31,189,1524.74,1635.71,335501.77
2024-08-30,2024-11-15,77,1780.66,1637.6,-1184481.22
2024-09-20,2024-10-11,21,1328.4,1236.01,-20352.64
2024-11-08,2025-02-28,112,266.69,265.44,-223205.05
2024-12-13,2025-01-10,28,476.43,403.57,-7291259.04
2025-01-03,2025-02-14,42,5242.77,4643.14,-65954630.56
2025-03-21,2025-05-02,42,1055.86,964.9,-1008744.63
2025-04-18,2026-03-13,329,5605.81,6741.0,96143286.95
2025-04-18,2025-08-01,105,2032.57,1914.67,-800263.76
2025-09-05,2025-12-19,105,1073.1,1079.6,10511.55
2025-09-12,2025-12-26,105,2079.73,2015.88,-425023.31
2025-09-12,2026-06-26,287,758.05,953.2,1063156.48
2025-09-12,2026-01-23,133,6247.0,5835.0,-4197852.06
2025-10-03,2026-03-13,161,5444.38,5206.0,-261562.21
2025-10-17,2026-01-16,91,1473.19,1415.93,-84470.73
2025-10-17,2026-03-13,147,1282.58,1202.2,-17144.26
2025-10-24,2026-05-01,189,487.46,271.55,-17429318.16
2025-11-14,2026-01-30,77,2876.91,2407.41,-1809674.59
2025-12-26,2026-07-10,196,396.9,432.35,152951.97
2026-01-23,2026-02-20,28,1658.01,1420.0,-972518.9
2026-01-30,2026-03-13,42,1214.4,1119.3,-839268.09
2026-01-30,2026-06-12,133,262.78,246.2,-438511.1
2026-02-06,2026-06-12,126,365.05,353.9,-99176.85
2026-02-06,2026-03-13,35,1544.19,1357.48,-231790.94
2026-03-13,2026-06-12,91,300.95,284.8,-208624.95
